round,dgp,n,mode,seed_start,seed_end,cli_seed_start,cli_seed_end,replication_count,projected_hours,notebook_filename,output_filename,account_slot,session_slot,status,status_note
Round0,1,500,pilot,1000001,1000050,0,49,50,3.086,E3_DGP1_n500_pilot_shard01_seeds1000001-1000050.ipynb,E3_DGP1_n500_pilot_shard01_seeds1000001-1000050.csv,round0,pilot1,superseded,superseded by ANALYSIS_PLAN.md AMENDMENT 1 (2026-08-06): run under a superseded run_cell.R and not used for planning
Round0,2,500,pilot,1000001,1000050,0,49,50,3.086,E3_DGP2_n500_pilot_shard01_seeds1000001-1000050.ipynb,E3_DGP2_n500_pilot_shard01_seeds1000001-1000050.csv,round0,pilot2,superseded,superseded by ANALYSIS_PLAN.md AMENDMENT 1 (2026-08-06): run under a superseded run_cell.R and not used for planning
Round0,3,500,pilot,1000001,1000050,0,49,50,3.086,E3_DGP3_n500_pilot_shard01_seeds1000001-1000050.ipynb,E3_DGP3_n500_pilot_shard01_seeds1000001-1000050.csv,round0,pilot3,superseded,superseded by ANALYSIS_PLAN.md AMENDMENT 1 (2026-08-06): run under a superseded run_cell.R and not used for planning
Round0,1,100,pilot,1000001,1000050,0,49,50,1.029,E3_DGP1_n100_pilot_shard01_seeds1000001-1000050.ipynb,E3_DGP1_n100_pilot_shard01_seeds1000001-1000050.csv,round0,pilot4,superseded,superseded by ANALYSIS_PLAN.md AMENDMENT 1 (2026-08-06): run under a superseded run_cell.R and not used for planning
Round1,1,500,confirmatory,0,99,0,99,100,6.173,E3_DGP1_n500_confirmatory_shard01_seeds000-099.ipynb,E3_DGP1_n500_confirmatory_shard01_seeds000-099.csv,account01,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,500,confirmatory,100,199,100,199,100,6.173,E3_DGP1_n500_confirmatory_shard02_seeds100-199.ipynb,E3_DGP1_n500_confirmatory_shard02_seeds100-199.csv,account01,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,500,confirmatory,200,299,200,299,100,6.173,E3_DGP1_n500_confirmatory_shard03_seeds200-299.ipynb,E3_DGP1_n500_confirmatory_shard03_seeds200-299.csv,account01,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,500,confirmatory,300,399,300,399,100,6.173,E3_DGP1_n500_confirmatory_shard04_seeds300-399.ipynb,E3_DGP1_n500_confirmatory_shard04_seeds300-399.csv,account02,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,500,confirmatory,400,499,400,499,100,6.173,E3_DGP1_n500_confirmatory_shard05_seeds400-499.ipynb,E3_DGP1_n500_confirmatory_shard05_seeds400-499.csv,account02,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,500,confirmatory,500,599,500,599,100,6.173,E3_DGP1_n500_confirmatory_shard06_seeds500-599.ipynb,E3_DGP1_n500_confirmatory_shard06_seeds500-599.csv,account02,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,500,confirmatory,600,699,600,699,100,6.173,E3_DGP1_n500_confirmatory_shard07_seeds600-699.ipynb,E3_DGP1_n500_confirmatory_shard07_seeds600-699.csv,account03,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,500,confirmatory,700,799,700,799,100,6.173,E3_DGP1_n500_confirmatory_shard08_seeds700-799.ipynb,E3_DGP1_n500_confirmatory_shard08_seeds700-799.csv,account03,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,500,confirmatory,800,899,800,899,100,6.173,E3_DGP1_n500_confirmatory_shard09_seeds800-899.ipynb,E3_DGP1_n500_confirmatory_shard09_seeds800-899.csv,account03,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,1,500,confirmatory,900,999,900,999,100,6.173,E3_DGP1_n500_confirmatory_shard10_seeds900-999.ipynb,E3_DGP1_n500_confirmatory_shard10_seeds900-999.csv,account04,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,2,500,confirmatory,0,99,0,99,100,6.173,E3_DGP2_n500_confirmatory_shard01_seeds000-099.ipynb,E3_DGP2_n500_confirmatory_shard01_seeds000-099.csv,account04,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,2,500,confirmatory,100,199,100,199,100,6.173,E3_DGP2_n500_confirmatory_shard02_seeds100-199.ipynb,E3_DGP2_n500_confirmatory_shard02_seeds100-199.csv,account04,session3,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,2,500,confirmatory,200,299,200,299,100,6.173,E3_DGP2_n500_confirmatory_shard03_seeds200-299.ipynb,E3_DGP2_n500_confirmatory_shard03_seeds200-299.csv,account05,session1,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
Round1,2,500,confirmatory,300,399,300,399,100,6.173,E3_DGP2_n500_confirmatory_shard04_seeds300-399.ipynb,E3_DGP2_n500_confirmatory_shard04_seeds300-399.csv,account05,session2,active,in use; seeds 0..J0-1 are the amended pilot and J0..999 the confirmatory set
