reject_rate,t1e_or_power,ci_cover,E_theta,bias,rmse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,pJmax,mean_wall,family,rho,sigma_a,sigma_b,theta,design,J0,Jmax,alpha,alpha_adj,delta,power_target,gamma,correction,K,seed,R,reject_rate_mcse,ci_cover_mcse,pJmax_mcse,module_cell,theta_mult,B,sigma_ratio,cell_id,module,projected_R,bootstrap_B
0.0492,0.0492,0.9508,2.9693575836458664e-05,2.9693575836458664e-05,0.17875805961819852,83.9434,16.34127891078296,58.0,83.0,112.0,0.0,0.0,0.0002963999271392822,normal,-0.3,1.0,1.0,0.0,D1,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100000,5000,0.0030587369942510585,0.0030587369942510594,0.0,A,0.0,50,1.0,A_0000,A,5000,50
0.0548,0.0548,0.9452,0.003590399841875099,0.003590399841875099,0.16110807448254605,104.0558,18.330015994537483,76.0,103.0,137.0,0.0,0.0,0.000522646951675415,normal,-0.3,1.0,1.0,0.0,D2,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100001,5000,0.003218600938296017,0.003218600938296016,0.0,A,0.0,50,1.0,A_0001,A,5000,50
0.0882,0.0882,0.7814,-0.0003840757282566714,-0.0003840757282566714,0.2019358815485056,65.2828,8.99471089918959,51.0,65.0,81.0,0.0,0.0,0.00014945268630981446,normal,-0.3,1.0,1.0,0.0,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100002,5000,0.00401050520508327,0.005844895892999293,0.0,A,0.0,50,1.0,A_0002,A,5000,50
0.0484,0.0484,0.9516,0.0033634630965968483,0.0033634630965968483,0.16132320746869316,101.0948,20.053234476263423,71.0,100.0,136.0,0.0,0.0,0.00013496928215026856,normal,-0.3,1.0,1.0,0.0,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100003,5000,0.0030350433275325743,0.0030350433275325743,0.0,A,0.0,50,1.0,A_0003,A,5000,50
0.0426,0.0426,0.9574,0.00014251315006923523,0.00014251315006923523,0.05184531815071151,936.57,98.16898237223405,719.95,1000.0,1000.0,0.0,0.551,7.741179466247559e-05,normal,-0.3,1.0,1.0,0.0,D5,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100004,5000,0.00285605462132642,0.002856054621326419,0.0,A,0.0,50,1.0,A_0004,A,5000,50
0.0464,0.0464,0.9536,-0.0001935902708079066,-0.0001935902708079066,0.1746157220126917,84.0,0.0,84.0,84.0,84.0,0.0,0.0,6.141300201416015e-05,normal,-0.3,1.0,1.0,0.0,D6,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100005,5000,0.0029747954551531774,0.0029747954551531774,0.0,A,0.0,50,1.0,A_0005,A,5000,50
0.2746,0.2746,0.9474,0.2438891379776413,-0.006110862022358693,0.18058822566493266,84.2522,16.680917095891342,59.0,83.0,114.0,0.0,0.0,0.00014080910682678222,normal,-0.3,1.0,1.0,0.25,D1,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100006,5000,0.0063118117842660675,0.0031569998416217885,0.0,A,0.5,50,1.0,A_0006,A,5000,50
0.3514,0.3514,0.9506,0.2510934352879305,0.0010934352879304887,0.15762373838837743,104.0908,18.125731857224416,76.0,103.0,135.0,0.0,0.0,0.00031360268592834473,normal,-0.3,1.0,1.0,0.25,D2,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100007,5000,0.006751563374508159,0.003064625262572897,0.0,A,0.5,50,1.0,A_0007,A,5000,50
0.3298,0.3298,0.7784,0.25556006914556395,0.005560069145563951,0.2014254239658021,65.3456,9.139768084585079,51.0,65.0,81.0,0.0,0.0,0.0002052290916442871,normal,-0.3,1.0,1.0,0.25,D3,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100008,5000,0.006648788761872346,0.005873558376316694,0.0,A,0.5,50,1.0,A_0008,A,5000,50
0.3412,0.3412,0.9498,0.2490967552386116,-0.0009032447613883943,0.16395603688336505,100.784,19.639341740496292,71.0,100.0,135.0,0.0,0.0,0.00022271275520324707,normal,-0.3,1.0,1.0,0.25,D4,50,1000,0.05,0.05,0.5,0.8,0.2,none,1,100009,5000,0.006704961744857311,0.003088040155179334,0.0,A,0.5,50,1.0,A_0009,A,5000,50
