cell_id,module,family,K,correction,rho,theta,design,R,J0,Jmax,alpha,alpha_adj,marginal_level_or_power,marginal_mcse,fwer,fwer_mcse,conjunctive_power,conjunctive_power_mcse,disjunctive_power,disjunctive_power_mcse,fdr,fdr_mcse,E_J,sd_J,q05_J,q50_J,q95_J,P_J_eq_Jmax,ci_coverage,bias,rmse,mean_wall,seed,theta_vector,marginal_estimand,marginal_by_contrast,marginal_mcse_by_contrast,mean_fdp,ci_coverage_mcse,bootstrap_B,benchmark_residual_corr,n_true_alternatives,n_true_nulls,planning_target_met_all,marginal_contrast_1,marginal_contrast_1_mcse,marginal_contrast_2,marginal_contrast_2_mcse,marginal_contrast_3,marginal_contrast_3_mcse,marginal_contrast_4,marginal_contrast_4_mcse,marginal_contrast_5,marginal_contrast_5_mcse,marginal_contrast_6,marginal_contrast_6_mcse,cell_index,module_cell,theta_mult,B,alpha_plan,alpha_note,source_module,projected_R
B_0000,B_joint,normal,1,none,-0.3,0.0,D3,2000,50,1000,0.05,0.05,0.092,0.006462816723379984,0.092,0.006462816723379984,,,,,,,65.5695,9.57534175630301,51.0,65.0,82.0,0.0,0.777,-0.005218126554993517,0.20292086050636488,0.0002218965844986087,400000,[0.0],level,[0.092],[0.006462816723379984],,0.009307819293475782,999,0.0,0,1,1.0,0.092,0.006462816723379984,,,,,,,,,,,0,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0001,B_joint,normal,1,none,-0.3,0.0,D4,2000,50,1000,0.05,0.05,0.042,0.004485309353879618,0.042,0.004485309353879618,,,,,,,101.1845,19.399831436123357,73.0,100.0,136.0,0.0,0.958,-0.0051616346266657245,0.1621297569932016,0.00018643139799860364,400001,[0.0],level,[0.042],[0.004485309353879618],,0.00448530935387962,999,0.0,0,1,1.0,0.042,0.004485309353879618,,,,,,,,,,,1,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0002,B_joint,normal,1,none,-0.3,0.5,D3,2000,50,1000,0.05,0.05,0.7545,0.009623662244696664,,,0.7545,0.009623662244696664,0.7545,0.009623662244696664,,,65.0025,9.23333600330888,51.0,64.0,81.0,0.0,0.7725,-0.010675261700546732,0.2036896616557236,0.00020818185899952368,400002,[0.5],power,[0.7545],[0.009623662244696664],,0.009373999946660978,999,0.0,1,0,1.0,0.7545,0.009623662244696664,,,,,,,,,,,2,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0003,B_joint,normal,1,none,-0.3,0.5,D4,2000,50,1000,0.05,0.05,0.8455,0.008081761874739938,,,0.8455,0.008081761874739938,0.8455,0.008081761874739938,,,100.4975,19.789542535137087,70.0,99.0,135.0,0.0,0.9535,-0.004473595701768854,0.16288724823518994,0.00016717621550014884,400003,[0.5],power,[0.8455],[0.008081761874739938],,0.004708383480558906,999,0.0,1,0,1.0,0.8455,0.008081761874739938,,,,,,,,,,,3,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0004,B_joint,empirical_copula,1,none,-0.3,0.0,D3,2000,50,1000,0.05,0.05,0.088,0.006334666526345329,0.088,0.006334666526345329,,,,,,,65.426,12.888813909743595,46.0,64.0,88.0,0.0,0.775,0.015739017402423484,0.20118789990009403,0.0003005230064991338,400004,[0.0],level,[0.088],[0.006334666526345329],,0.009337424698491548,999,0.0,0,1,1.0,0.088,0.006334666526345329,,,,,,,,,,,4,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0005,B_joint,empirical_copula,1,none,-0.3,0.0,D4,2000,50,1000,0.05,0.05,0.039,0.004328914413568372,0.039,0.004328914413568372,,,,,,,97.348,22.99482324350418,64.0,95.0,140.0,0.0,0.961,0.0023816794629125705,0.16397996540554874,0.0003369603834998998,400005,[0.0],level,[0.039],[0.004328914413568372],,0.004328914413568374,999,0.0,0,1,1.0,0.039,0.004328914413568372,,,,,,,,,,,5,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0006,B_joint,empirical_copula,1,none,-0.3,0.5,D3,2000,50,1000,0.05,0.05,0.811,0.00875439889427024,,,0.811,0.00875439889427024,0.811,0.00875439889427024,,,65.9095,12.991894001645795,46.0,65.0,89.0,0.0,0.7905,0.013992021845591162,0.1980826471646317,0.0002758571560007113,400006,[0.5],power,[0.811],[0.00875439889427024],,0.009099718402236412,999,0.0,1,0,1.0,0.811,0.00875439889427024,,,,,,,,,,,6,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0007,B_joint,empirical_copula,1,none,-0.3,0.5,D4,2000,50,1000,0.05,0.05,0.8365,0.008269454335081607,,,0.8365,0.008269454335081607,0.8365,0.008269454335081607,,,97.4975,22.37603614919318,64.0,95.0,138.0,0.0,0.951,-0.0007501872563923898,0.16701109657288107,0.00026956909900036405,400007,[0.5],power,[0.8365],[0.008269454335081607],,0.004826955562256609,999,0.0,1,0,1.0,0.8365,0.008269454335081607,,,,,,,,,,,7,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0008,B_joint,normal,1,none,0.0,0.0,D3,2000,50,1000,0.05,0.05,0.048,0.0047799581588126895,0.048,0.0047799581588126895,,,,,,,65.326,8.952470273617223,51.95,65.0,81.0,0.0,0.8365,-0.0020607545089107865,0.17545928635561628,0.0002061839689995395,400008,[0.0],level,[0.048],[0.0047799581588126895],,0.008269454335081607,999,0.0,0,1,1.0,0.048,0.0047799581588126895,,,,,,,,,,,8,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0009,B_joint,normal,1,none,0.0,0.0,D4,2000,50,1000,0.05,0.05,0.052,0.004964675215963275,0.052,0.004964675215963275,,,,,,,78.4845,14.88834308276109,55.0,77.0,103.0,0.0,0.948,-0.0029963382956890465,0.1614649645632701,0.00020119013499970607,400009,[0.0],level,[0.052],[0.004964675215963275],,0.0049646752159632785,999,0.0,0,1,1.0,0.052,0.004964675215963275,,,,,,,,,,,9,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0010,B_joint,normal,1,none,0.0,0.5,D3,2000,50,1000,0.05,0.05,0.809,0.008789738335126933,,,0.809,0.008789738335126933,0.809,0.008789738335126933,,,65.3325,9.048808968588075,52.0,65.0,81.0,0.0,0.8395,-0.005109103986077981,0.17631500507862954,0.000221167780999167,400010,[0.5],power,[0.809],[0.008789738335126933],,0.00820791538699078,999,0.0,1,0,1.0,0.809,0.008789738335126933,,,,,,,,,,,10,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0011,B_joint,normal,1,none,0.0,0.5,D4,2000,50,1000,0.05,0.05,0.8615,0.007723915781519111,,,0.8615,0.007723915781519111,0.8615,0.007723915781519111,,,77.8145,14.868863095408472,56.0,77.0,104.0,0.0,0.955,0.0010265576875633465,0.15916620423736033,0.00019949831949998042,400011,[0.5],power,[0.8615],[0.007723915781519111],,0.004635461142108735,999,0.0,1,0,1.0,0.8615,0.007723915781519111,,,,,,,,,,,11,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0012,B_joint,empirical_copula,1,none,0.0,0.0,D3,2000,50,1000,0.05,0.05,0.0555,0.005119558086397693,0.0555,0.005119558086397693,,,,,,,65.4165,12.887708397927073,46.0,65.0,89.0,0.0,0.836,0.011111297168917553,0.17689050892280042,0.00028800462799881643,400012,[0.0],level,[0.0555],[0.005119558086397693],,0.0082796135175502,999,0.0,0,1,1.0,0.0555,0.005119558086397693,,,,,,,,,,,12,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0013,B_joint,empirical_copula,1,none,0.0,0.0,D4,2000,50,1000,0.05,0.05,0.05,0.004873397172404482,0.05,0.004873397172404482,,,,,,,77.884,18.494067805650545,51.0,76.0,111.0,0.0,0.95,0.0038163848461394427,0.16314793970079933,0.0002931879949992435,400013,[0.0],level,[0.05],[0.004873397172404482],,0.004873397172404485,999,0.0,0,1,1.0,0.05,0.004873397172404482,,,,,,,,,,,13,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0014,B_joint,empirical_copula,1,none,0.0,0.5,D3,2000,50,1000,0.05,0.05,0.8365,0.008269454335081607,,,0.8365,0.008269454335081607,0.8365,0.008269454335081607,,,64.7515,13.060311931573457,45.0,64.0,88.0,0.0,0.839,0.012868301208687986,0.17424900062160775,0.00024913620200095465,400014,[0.5],power,[0.8365],[0.008269454335081607],,0.008218241904446474,999,0.0,1,0,1.0,0.8365,0.008269454335081607,,,,,,,,,,,14,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0015,B_joint,empirical_copula,1,none,0.0,0.5,D4,2000,50,1000,0.05,0.05,0.839,0.008218241904446474,,,0.839,0.008218241904446474,0.839,0.008218241904446474,,,78.5145,18.947738380872796,50.0,77.0,112.0,0.0,0.947,0.0029664307441296138,0.1652772164804714,0.0003012722910007142,400015,[0.5],power,[0.839],[0.008218241904446474],,0.005009540897128201,999,0.0,1,0,1.0,0.839,0.008218241904446474,,,,,,,,,,,15,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0016,B_joint,normal,1,none,0.3,0.0,D3,2000,50,1000,0.05,0.05,0.019,0.003052785613173647,0.019,0.003052785613173647,,,,,,,65.2075,9.47826164177799,50.0,65.0,81.0,0.0,0.898,0.0003467232725698255,0.14842965661700627,0.00018158706400026858,400016,[0.0],level,[0.019],[0.003052785613173647],,0.006767421961131136,999,0.0,0,1,1.0,0.019,0.003052785613173647,,,,,,,,,,,16,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0017,B_joint,normal,1,none,0.3,0.0,D4,2000,50,1000,0.05,0.05,0.0505,0.00489641450451246,0.0505,0.00489641450451246,,,,,,,55.479,10.314773822047675,40.0,55.0,74.0,0.0,0.9495,0.004023955096468246,0.16293765225131893,0.0001948537944990676,400017,[0.0],level,[0.0505],[0.00489641450451246],,0.0048964145045124596,999,0.0,0,1,1.0,0.0505,0.00489641450451246,,,,,,,,,,,17,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0018,B_joint,normal,1,none,0.3,0.5,D3,2000,50,1000,0.05,0.05,0.8505,0.007973385416496557,,,0.8505,0.007973385416496557,0.8505,0.007973385416496557,,,65.1575,9.281147221653152,51.0,64.0,81.0,0.0,0.91,-0.006179712005575483,0.14537629774954133,0.00021290298900021297,400018,[0.5],power,[0.8505],[0.007973385416496557],,0.0063992187023104614,999,0.0,1,0,1.0,0.8505,0.007973385416496557,,,,,,,,,,,18,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0019,B_joint,normal,1,none,0.3,0.5,D4,2000,50,1000,0.05,0.05,0.854,0.007895695029571494,,,0.854,0.007895695029571494,0.854,0.007895695029571494,,,55.401,10.559128704585431,39.0,55.0,74.0,0.0,0.956,0.002909230027519544,0.1608351132959104,0.00022623727249992953,400019,[0.5],power,[0.854],[0.007895695029571494],,0.004586065852122058,999,0.0,1,0,1.0,0.854,0.007895695029571494,,,,,,,,,,,19,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0020,B_joint,empirical_copula,1,none,0.3,0.0,D3,2000,50,1000,0.05,0.05,0.0245,0.003456859123539749,0.0245,0.003456859123539749,,,,,,,64.815,13.15772681734957,45.0,64.0,88.0,0.0,0.8965,0.011865624673933272,0.15247580004589908,0.0002953619045001687,400020,[0.0],level,[0.0245],[0.003456859123539749],,0.006811304941052046,999,0.0,0,1,1.0,0.0245,0.003456859123539749,,,,,,,,,,,20,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0021,B_joint,empirical_copula,1,none,0.3,0.0,D4,2000,50,1000,0.05,0.05,0.0515,0.004942051699446294,0.0515,0.004942051699446294,,,,,,,58.6955,14.208897907649277,38.0,58.0,84.04999999999995,0.0,0.9485,-0.0003063226710005995,0.16488562726180678,0.0002740823085005104,400021,[0.0],level,[0.0515],[0.004942051699446294],,0.004942051699446293,999,0.0,0,1,1.0,0.0515,0.004942051699446294,,,,,,,,,,,21,B,0.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0022,B_joint,empirical_copula,1,none,0.3,0.5,D3,2000,50,1000,0.05,0.05,0.858,0.00780499839846236,,,0.858,0.00780499839846236,0.858,0.00780499839846236,,,65.7425,13.679773161496502,46.0,65.0,90.0,0.0,0.8955,0.003505583436516785,0.1493580831333552,0.0002899367744994379,400022,[0.5],power,[0.858],[0.00780499839846236],,0.006840312492861713,999,0.0,1,0,1.0,0.858,0.00780499839846236,,,,,,,,,,,22,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
B_0023,B_joint,empirical_copula,1,none,0.3,0.5,D4,2000,50,1000,0.05,0.05,0.8395,0.00820791538699078,,,0.8395,0.00820791538699078,0.8395,0.00820791538699078,,,59.121,14.647810723790775,37.0,58.0,86.0,0.0,0.95,0.0007381767576466487,0.16509832018958426,0.0003003379999991012,400023,[0.5],power,[0.8395],[0.00820791538699078],,0.004873397172404485,999,0.0,1,0,1.0,0.8395,0.00820791538699078,,,,,,,,,,,23,B,1.0,999,0.05,no multiplicity control (caller declared acceptance),B,2000
