family,rho,sigma_a,sigma_b,sigma_D_true
normal,-0.3,1.0,1.0,1.61245154965971
normal,0.0,1.0,1.0,1.4142135623730951
normal,0.3,1.0,1.0,1.1832159566199232
normal,0.6,1.0,1.0,0.8944271909999159
normal,0.9,1.0,1.0,0.44721359549995787
lognormal,-0.3,1.0,1.0,1.6029070481748946
lognormal,0.0,1.0,1.0,1.4138634877923975
lognormal,0.3,1.0,1.0,1.2007072088115256
lognormal,0.6,1.0,1.0,0.9366459428996013
lognormal,0.9,1.0,1.0,0.5591526348843786
gamma,-0.3,1.0,1.0,1.6046366110089203
gamma,0.0,1.0,1.0,1.4139022559713803
gamma,0.3,1.0,1.0,1.1978398170364206
gamma,0.6,1.0,1.0,0.9300055672740468
gamma,0.9,1.0,1.0,0.5429687114849548
mix,-0.3,1.0,1.0,2.5862129864493095
mix,0.0,1.0,1.0,2.4717730026613007
mix,0.3,1.0,1.0,2.3461597833933756
mix,0.6,1.0,1.0,2.214147774224673
mix,0.9,1.0,1.0,2.0735193330566775
beta,-0.3,1.0,1.0,1.6086048607886674
beta,0.0,1.0,1.0,1.4143148837620667
beta,0.3,1.0,1.0,1.1892351673065273
beta,0.6,1.0,1.0,0.9108381022633696
beta,0.9,1.0,1.0,0.4949711583064161
t3,-0.3,1.0,1.0,1.596012812191005
t3,0.0,1.0,1.0,1.410579149427482
t3,0.3,1.0,1.0,1.2005015688417937
t3,0.6,1.0,1.0,0.948409560465125
t3,0.9,1.0,1.0,0.5941596380011062
empirical_copula,-0.3,1.0,1.0,1.579552738825638
empirical_copula,0.0,1.0,1.0,1.4137296101050905
empirical_copula,0.3,1.0,1.0,1.2194588776306612
empirical_copula,0.6,1.0,1.0,0.9712621299691429
empirical_copula,0.9,1.0,1.0,0.6115432950051799
empirical,,1.0,1.0,0.9281652196104895
normal,-0.3,2.0,1.0,2.4899799195977463
normal,0.3,2.0,1.0,1.9493588689617927
normal,0.9,2.0,1.0,1.1832159566199232
lognormal,-0.3,2.0,1.0,2.478147827048329
lognormal,0.3,2.0,1.0,1.973727728767385
lognormal,0.9,2.0,1.0,1.277989755540806
gamma,-0.3,2.0,1.0,2.4802114306667
gamma,0.3,2.0,1.0,1.9695784910578324
gamma,0.9,2.0,1.0,1.263285332552751
