test,family,rho,J_min,direction,type_I_at_max_J,skew_D,abs_skew,skew_mcse,J_berry_esseen_0.005
paired_t,beta,0.0,10.0,calibrated,0.051725,-0.3347420154306855,0.3347420154306855,0.0024494897427831,1011.0
paired_t,beta,0.6,10.0,calibrated,0.0495,-0.2276883351072847,0.2276883351072847,0.0024494897427831,468.0
paired_t,empirical,,150.0,calibrated,0.050275,-1.5484123623102657,1.5484123623102657,0.0024494897427831,21620.0
paired_t,empirical_copula,0.0,10.0,calibrated,0.049975,-0.4282912916521935,0.4282912916521935,0.0024494897427831,1655.0
paired_t,empirical_copula,0.6,30.0,calibrated,0.0499,-0.7512544111964936,0.7512544111964936,0.0024494897427831,5090.0
paired_t,gamma,0.0,10.0,calibrated,0.050275,0.4987864200353924,0.4987864200353924,0.0024494897427831,2244.0
paired_t,gamma,0.6,10.0,calibrated,0.05115,0.3663164142790885,0.3663164142790885,0.0024494897427831,1211.0
paired_t,lognormal,0.0,10.0,calibrated,0.049125,0.6184727929275666,0.6184727929275666,0.0024494897427831,3450.0
paired_t,lognormal,0.6,10.0,calibrated,0.05095,0.5492380807537952,0.5492380807537952,0.0024494897427831,2721.0
paired_t,mix,0.0,,conservative,0.0436,0.0971819162318424,0.0971819162318424,0.0024494897427831,86.0
paired_t,mix,0.6,,conservative,0.04015,0.1339109582420315,0.1339109582420315,0.0024494897427831,162.0
paired_t,normal,0.0,10.0,calibrated,0.05005,-0.000947950377876,0.000947950377876,0.0024494897427831,1.0
paired_t,normal,0.6,10.0,calibrated,0.0486,-0.0002568952991997,0.0002568952991997,0.0024494897427831,1.0
paired_t,t3,0.0,10.0,calibrated,0.048625,0.2920488740566378,0.2920488740566378,0.0024494897427831,770.0
paired_t,t3,0.6,10.0,calibrated,0.0481,-0.3026943265199377,0.3026943265199377,0.0024494897427831,827.0
studentized_bootstrap,beta,0.0,200.0,calibrated,0.0588,-0.3347420154306855,0.3347420154306855,0.0024494897427831,1011.0
studentized_bootstrap,beta,0.6,25.0,calibrated,0.0492,-0.2276883351072847,0.2276883351072847,0.0024494897427831,468.0
studentized_bootstrap,empirical,,50.0,calibrated,0.0568,-1.5484123623102657,1.5484123623102657,0.0024494897427831,21620.0
studentized_bootstrap,empirical_copula,0.0,400.0,calibrated,0.0536,-0.4282912916521935,0.4282912916521935,0.0024494897427831,1655.0
studentized_bootstrap,empirical_copula,0.6,100.0,calibrated,0.0468,-0.7512544111964936,0.7512544111964936,0.0024494897427831,5090.0
studentized_bootstrap,gamma,0.0,20.0,calibrated,0.056,0.4987864200353924,0.4987864200353924,0.0024494897427831,2244.0
studentized_bootstrap,gamma,0.6,150.0,calibrated,0.0584,0.3663164142790885,0.3663164142790885,0.0024494897427831,1211.0
studentized_bootstrap,lognormal,0.0,150.0,calibrated,0.0532,0.6184727929275666,0.6184727929275666,0.0024494897427831,3450.0
studentized_bootstrap,lognormal,0.6,200.0,calibrated,0.0544,0.5492380807537952,0.5492380807537952,0.0024494897427831,2721.0
studentized_bootstrap,mix,0.0,,liberal,0.0924,0.0971819162318424,0.0971819162318424,0.0024494897427831,86.0
studentized_bootstrap,mix,0.6,,liberal,0.1156,0.1339109582420315,0.1339109582420315,0.0024494897427831,162.0
studentized_bootstrap,normal,0.0,25.0,calibrated,0.0588,-0.000947950377876,0.000947950377876,0.0024494897427831,1.0
studentized_bootstrap,normal,0.6,10.0,calibrated,0.0552,-0.0002568952991997,0.0002568952991997,0.0024494897427831,1.0
studentized_bootstrap,t3,0.0,400.0,calibrated,0.0576,0.2920488740566378,0.2920488740566378,0.0024494897427831,770.0
studentized_bootstrap,t3,0.6,400.0,calibrated,0.0544,-0.3026943265199377,0.3026943265199377,0.0024494897427831,827.0
