dgp,n,outcome,benchmark,mvbcf_mean_abs_dev,benchmark_mean_abs_dev,estimate,mcse,p_value,mvbcf_mean_width,benchmark_mean_width
1,500,1,bcf,0.047176666666666686,0.043506666666666687,0.0036699999999999975,0.0010442910522239653,0.00046283448580107034,40.08061335431506,43.60854512091713
1,500,1,bart,0.047176666666666686,0.04310777777777781,0.004068888888888877,0.001364339033109878,0.002937999662435707,40.08061335431506,55.67136381196958
1,500,1,mvbart,0.047176666666666686,0.04378777777777781,0.003388888888888877,0.0012598885293061478,0.007281286617249414,40.08061335431506,55.554000943942036
1,500,2,bcf,0.05106555555555556,0.048006666666666684,0.003058888888888883,0.0010629174230101486,0.004099127406772863,38.690836546631765,42.257915635185455
1,500,2,bart,0.05106555555555556,0.0433577777777778,0.007707777777777761,0.0016757056136493113,4.837177934075039e-06,38.690836546631765,55.785209104827224
1,500,2,mvbart,0.05106555555555556,0.043471111111111134,0.00759444444444443,0.0015232458936203868,7.407331054029846e-07,38.690836546631765,53.86059040867746
2,500,1,bcf,0.8738422222222222,0.8610422222222223,0.012799999999999999,0.0011681938201275738,2.6027506942727937e-26,39.159138878597,42.469819429456585
2,500,1,bart,0.8738422222222222,0.6692033333333333,0.2046388888888889,0.0034496641101679675,0.0,39.159138878597,56.38239178463348
2,500,1,mvbart,0.8738422222222222,0.6782611111111111,0.1955811111111111,0.0035160846710196514,2.546557004244121e-293,39.159138878597,56.14577291507126
2,500,2,bcf,0.054453333333333326,0.04753999999999999,0.006913333333333329,0.0010501497677322742,7.81840415770632e-11,32.99557886684861,36.079346419784756
2,500,2,bart,0.054453333333333326,0.03951333333333335,0.014939999999999969,0.001911911533007791,1.5416561264585534e-14,32.99557886684861,49.55321051281456
2,500,2,mvbart,0.054453333333333326,0.038154444444444456,0.016298888888888863,0.0018128765997166315,1.4255759385705455e-18,32.99557886684861,48.16670283291236
3,500,1,bcf,0.04679000000000002,0.04559000000000002,0.001199999999999997,0.0009711001346470693,0.21688846714116378,42.466589685937635,45.72424059200424
3,500,1,bart,0.04679000000000002,0.04332000000000003,0.0034699999999999896,0.0012945796461649207,0.00748784604817716,42.466589685937635,57.972944623822954
3,500,1,mvbart,0.04679000000000002,0.043503333333333366,0.003286666666666655,0.0011350256944904938,0.0038750850939273285,42.466589685937635,58.563158229308755
3,500,2,bcf,0.053520000000000005,0.04761666666666669,0.005903333333333329,0.0012678139087735603,3.704433046528214e-06,38.70727719783185,41.950459872392706
3,500,2,bart,0.053520000000000005,0.04308000000000002,0.010439999999999982,0.0017387410865511452,2.7853598773836094e-09,38.70727719783185,55.41455371656591
3,500,2,mvbart,0.053520000000000005,0.04328777777777781,0.010232222222222203,0.001659137038706182,1.0492761796790436e-09,38.70727719783185,54.35829705973915
1,100,1,bcf,0.05567777777777781,0.0662266666666667,-0.010548888888888885,0.0018623808156284984,1.987824349917419e-08,66.10656110863694,70.24432824507086
1,100,1,bart,0.05567777777777781,0.05179888888888893,0.003878888888888884,0.0011293348070985842,0.0006204176065146115,66.10656110863694,86.65491823524358
1,100,1,mvbart,0.05567777777777781,0.05007888888888894,0.005598888888888882,0.0014321037050388566,9.941777535896921e-05,66.10656110863694,101.48047681408646
1,100,2,bcf,0.06251777777777781,0.07730222222222226,-0.01478444444444444,0.002190032075605113,2.634785255812026e-11,63.27111128564693,67.47836132542254
1,100,2,bart,0.06251777777777781,0.05295888888888892,0.009558888888888882,0.0017429086787112914,5.391953292577291e-08,63.27111128564693,83.59970958563683
1,100,2,mvbart,0.06251777777777781,0.051848888888888923,0.010668888888888879,0.002037459518965026,2.0401003496674332e-07,63.27111128564693,96.43595133360292
