dgp,n,contrast,label,p_unadjusted,p_romano_wolf,p_bonferroni,p_holm,reject_romano_wolf,reject_bonferroni,reject_holm
1,500,C1,"MVBCF vs BCF, PEHE Y1",6.941269072820453e-33,0.0,4.164761443692272e-32,1.3882538145640905e-32,1,1,1
1,500,C2,"MVBCF vs BCF, PEHE Y2",6.536558034411166e-21,0.0,3.921934820646699e-20,6.536558034411166e-21,1,1,1
1,500,C3,"MVBCF vs BART, PEHE Y1",5.2045561331715074e-101,0.0,3.1227336799029046e-100,2.602278066585754e-100,1,1,1
1,500,C4,"MVBCF vs BART, PEHE Y2",2.560391541984369e-99,0.0,1.5362349251906215e-98,1.0241566167937477e-98,1,1,1
1,500,C5,"MVBCF vs MVBART, PEHE Y1",3.085597750925448e-76,0.0,1.851358650555269e-75,9.256793252776345e-76,1,1,1
1,500,C6,"MVBCF vs MVBART, PEHE Y2",4.995294061724259e-106,0.0,2.997176437034555e-105,2.997176437034555e-105,1,1,1
2,500,C1,"MVBCF vs BCF, PEHE Y1",2.494173164823237e-184,0.0,1.4965038988939422e-183,1.2470865824116184e-183,1,1,1
2,500,C2,"MVBCF vs BCF, PEHE Y2",8.572812243700683e-33,0.0,5.14368734622041e-32,8.572812243700683e-33,1,1,1
2,500,C3,"MVBCF vs BART, PEHE Y1",1.3786617221478116e-167,0.0,8.27197033288687e-167,5.514646888591246e-167,1,1,1
2,500,C4,"MVBCF vs BART, PEHE Y2",2.546573399201856e-85,0.0,1.5279440395211137e-84,5.093146798403712e-85,1,1,1
2,500,C5,"MVBCF vs MVBART, PEHE Y1",4.502090386604777e-201,0.0,2.7012542319628664e-200,2.7012542319628664e-200,1,1,1
2,500,C6,"MVBCF vs MVBART, PEHE Y2",1.3752330589877112e-93,0.0,8.251398353926267e-93,4.125699176963134e-93,1,1,1
3,500,C1,"MVBCF vs BCF, PEHE Y1",3.482820286919656e-14,0.0,2.0896921721517937e-13,6.965640573839312e-14,1,1,1
3,500,C2,"MVBCF vs BCF, PEHE Y2",0.0007055687837448799,0.0010002000400080016,0.0042334127024692796,0.0007055687837448799,1,1,1
3,500,C3,"MVBCF vs BART, PEHE Y1",4.095155282345836e-81,0.0,2.4570931694075016e-80,2.0475776411729182e-80,1,1,1
3,500,C4,"MVBCF vs BART, PEHE Y2",4.9146116946740876e-67,0.0,2.9487670168044527e-66,1.4743835084022264e-66,1,1,1
3,500,C5,"MVBCF vs MVBART, PEHE Y1",3.950421442218874e-83,0.0,2.3702528653313246e-82,2.3702528653313246e-82,1,1,1
3,500,C6,"MVBCF vs MVBART, PEHE Y2",2.4259179331871296e-68,0.0,1.4555507599122777e-67,9.703671732748518e-68,1,1,1
1,100,C1,"MVBCF vs BCF, PEHE Y1",3.1475364522061058e-52,0.0,1.8885218713236634e-51,3.1475364522061058e-52,1,1,1
1,100,C2,"MVBCF vs BCF, PEHE Y2",2.843231036334835e-60,0.0,1.7059386218009008e-59,5.68646207266967e-60,1,1,1
1,100,C3,"MVBCF vs BART, PEHE Y1",6.15453159902191e-97,0.0,3.6927189594131456e-96,2.461812639608764e-96,1,1,1
1,100,C4,"MVBCF vs BART, PEHE Y2",1.5408412575349267e-78,0.0,9.24504754520956e-78,4.62252377260478e-78,1,1,1
1,100,C5,"MVBCF vs MVBART, PEHE Y1",2.261105017812827e-141,0.0,1.3566630106876964e-140,1.3566630106876964e-140,1,1,1
1,100,C6,"MVBCF vs MVBART, PEHE Y2",4.645074381808975e-125,0.0,2.787044629085385e-124,2.3225371909044874e-124,1,1,1
