dgp,n,outcome,model,mean_pehe,in_mcs_90
1,500,1,mvbcf,9.179601743005092,1
1,500,1,bcf,9.683761303012725,0
1,500,1,bart,10.75764124562603,0
1,500,1,mvbart,10.370777961337682,0
1,500,2,mvbcf,9.304744505621594,1
1,500,2,bcf,9.673847369030801,0
1,500,2,bart,10.849141995245498,0
1,500,2,mvbart,10.628989194861456,0
2,500,1,mvbcf,35.75307734386989,1
2,500,1,bcf,37.101078834917836,0
2,500,1,bart,37.19114432687619,0
2,500,1,mvbart,37.18902932988747,0
2,500,2,mvbcf,9.084823624712097,1
2,500,2,bcf,9.41076508920896,0
2,500,2,bart,10.202585430349918,0
2,500,2,mvbart,10.13846344867186,0
3,500,1,mvbcf,9.617857383381972,1
3,500,1,bcf,9.96108795537799,0
3,500,1,bart,11.156986648011834,0
3,500,1,mvbart,11.128057030276365,0
3,500,2,mvbcf,9.638896005210364,1
3,500,2,bcf,9.767811267456185,0
3,500,2,bart,10.851168871748976,0
3,500,2,mvbart,10.659115737738235,0
1,100,1,mvbcf,13.062553090522389,1
1,100,1,bcf,14.86567757103876,0
1,100,1,bart,14.943365472039888,0
1,100,1,mvbart,16.245194561924674,0
1,100,2,mvbcf,13.705128715050451,1
1,100,2,bcf,15.798898252785987,0
1,100,2,bart,15.15222562598637,0
1,100,2,mvbart,16.142557779469534,0
