dgp,contrast,label,J0,sd_tau,delta,target_mcse,sd_pilot,sigma_ub,inflation,J_precision,J_power,J_contrast,J_final,capped_at_J_max,n
1,C1,"MVBCF vs BCF, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.0590804394883189,1.1297280441095048,1.0667065522004338,8,8,8,30,0,500
1,C2,"MVBCF vs BCF, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.2724824026799209,1.3573653164984223,1.0667065522004338,9,8,9,30,0,500
1,C3,"MVBCF vs BART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.6847691614172022,1.7971543034289599,1.0667065522004338,20,13,20,30,0,500
1,C4,"MVBCF vs BART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,2.340195833187085,2.496302228692817,1.0667065522004338,30,19,30,30,0,500
1,C5,"MVBCF vs MVBART, PEHE Y1",100,8.16496580927726,2.041241452319315,0.4082482904638631,1.5307349928285297,1.6328450465326765,1.0667065522004338,16,12,16,30,0,500
1,C6,"MVBCF vs MVBART, PEHE Y2",100,9.128709291752768,2.282177322938192,0.45643546458763845,1.5570577214068213,1.660923673578934,1.0667065522004338,14,10,14,30,0,500
1,C1,"MVBCF vs BCF, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,1.0558951924147597,1.1609322741465982,1.0994768064921536,9,8,9,27,0,500
1,C2,"MVBCF vs BCF, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,1.2528308802608614,1.3774584953039657,1.0994768064921536,10,8,10,27,0,500
1,C3,"MVBCF vs BART, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,1.7746813934160046,1.951221030974074,1.0994768064921536,23,15,23,27,0,500
1,C4,"MVBCF vs BART, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,2.1481919539270864,2.361887229235893,1.0994768064921536,27,17,27,27,0,500
1,C5,"MVBCF vs MVBART, PEHE Y1",50,8.16496580927726,2.041241452319315,0.4082482904638631,1.3953061817208239,1.534106784757172,1.0994768064921536,15,11,15,27,0,500
1,C6,"MVBCF vs MVBART, PEHE Y2",50,9.128709291752768,2.282177322938192,0.45643546458763845,1.4985382973168915,1.6476081015401653,1.0994768064921536,14,10,14,27,0,500
1,C1,"MVBCF vs BCF, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,1.1754587641518013,1.3549786517802147,1.152723254190846,12,9,12,34,0,500
1,C2,"MVBCF vs BCF, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,1.153781637818092,1.3299909241713153,1.152723254190846,9,8,9,34,0,500
1,C3,"MVBCF vs BART, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,2.0402086622657594,2.351795968395339,1.152723254190846,34,20,34,34,0,500
1,C4,"MVBCF vs BART, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,2.291105330030518,2.641010391726771,1.152723254190846,34,20,34,34,0,500
1,C5,"MVBCF vs MVBART, PEHE Y1",25,8.16496580927726,2.041241452319315,0.4082482904638631,1.7059006787090802,1.966431381687904,1.152723254190846,24,15,24,34,0,500
1,C6,"MVBCF vs MVBART, PEHE Y2",25,9.128709291752768,2.282177322938192,0.45643546458763845,1.5602940335514526,1.7985872158499916,1.152723254190846,16,12,16,34,0,500
